index	vi_meaning	en_definition	example_meaning_en	example_meaning_vi	example_usage_en	example_usage_vi	usage_note
9	thêm; cộng	to put something with something else so there is more	Add your name to the list.	Hãy thêm tên của bạn vào danh sách.	Add a little milk to the coffee.	Thêm một ít sữa vào cà phê.	Common pattern: add something to something.
10	địa chỉ	the details that show where a person lives or where a place is	Please write your address on the form.	Vui lòng viết địa chỉ của bạn vào biểu mẫu.	Send the photo to my email address.	Hãy gửi bức ảnh đến địa chỉ email của tôi.	Common combinations include home address and email address.
11	người trưởng thành	a person who is fully grown	Two adults are waiting outside.	Hai người lớn đang đợi bên ngoài.	Children must come with an adult.	Trẻ em phải đi cùng một người lớn.	Adult is a countable noun: an adult, two adults.
12	lời khuyên	an opinion about what someone should do	Her advice helped me choose a course.	Lời khuyên của cô ấy giúp tôi chọn khóa học.	Can you give me some advice?	Bạn có thể cho tôi một vài lời khuyên không?	Advice is uncountable; say some advice, not an advice.
13	sợ; lo sợ	feeling fear or worry	The child is afraid of the dark.	Đứa trẻ sợ bóng tối.	I'm afraid to ask that question.	Tôi ngại hỏi câu đó.	Use afraid of + noun or afraid to + verb.
14	sau; sau khi	later than someone or something	We went home after dinner.	Chúng tôi về nhà sau bữa tối.	Meet me after class.	Hãy gặp tôi sau giờ học.	After is followed by a noun or an -ing form.
15	buổi chiều	the part of the day between noon and evening	I have a class this afternoon.	Tôi có một lớp học vào chiều nay.	She works in the afternoon.	Cô ấy làm việc vào buổi chiều.	Say this afternoon, but in the afternoon.
16	lại; một lần nữa	one more time	Please say that again.	Vui lòng nói lại điều đó.	It is good to see you again.	Thật vui khi lại gặp bạn.	Again usually comes after the object or at the end.
17	tuổi; độ tuổi	the number of years someone has lived	What is your age?	Bạn bao nhiêu tuổi?	Children of all ages can join.	Trẻ em ở mọi độ tuổi đều có thể tham gia.	At the age of introduces a specific age.
18	trước đây	before now, used with a period of time	We met two years ago.	Chúng tôi gặp nhau hai năm trước.	She left a few minutes ago.	Cô ấy rời đi vài phút trước.	Ago follows a length of time.
19	đồng ý	to have the same opinion or accept a suggestion	I agree with you.	Tôi đồng ý với bạn.	They agreed to meet at six.	Họ đồng ý gặp nhau lúc sáu giờ.	Use agree with a person and agree to do something.
20	không khí	the mixture of gases that people and animals breathe	Open the window and let in some fresh air.	Mở cửa sổ để không khí trong lành vào.	The mountain air is cool and clean.	Không khí trên núi mát mẻ và trong lành.	Air is usually uncountable.
21	sân bay	a place where airplanes arrive and leave	The airport is busy this morning.	Sân bay sáng nay rất đông.	We arrived at the airport early.	Chúng tôi đến sân bay sớm.	Use arrive at the airport.
22	tất cả	the whole number or amount of people or things	All the windows are open.	Tất cả cửa sổ đều đang mở.	We all enjoyed the movie.	Tất cả chúng tôi đều thích bộ phim.	All can come before a noun or after a subject pronoun.
23	cũng; còn	in addition	She speaks English and also French.	Cô ấy nói tiếng Anh và cả tiếng Pháp.	He is kind, and he is also very patient.	Anh ấy tốt bụng và cũng rất kiên nhẫn.	Also normally comes before the main verb but after be.
24	luôn luôn	at all times or every time	He always drinks water with lunch.	Anh ấy luôn uống nước vào bữa trưa.	She is always on time.	Cô ấy luôn đúng giờ.	Always comes before most verbs but after be.
25	đáng kinh ngạc; tuyệt vời	very surprising or extremely good	The view from the hill is amazing.	Quang cảnh từ ngọn đồi thật tuyệt vời.	We had an amazing time at the beach.	Chúng tôi đã có khoảng thời gian tuyệt vời ở bãi biển.	Amazing describes the thing that causes the feeling.
26	và	used to join words, phrases, or ideas	I bought bread and cheese.	Tôi mua bánh mì và phô mai.	She opened the door and walked inside.	Cô ấy mở cửa rồi bước vào trong.	And joins items or actions of equal importance.
27	tức giận	feeling strong displeasure	He was angry about the mistake.	Anh ấy tức giận về lỗi đó.	Please don't be angry with me.	Xin đừng giận tôi.	Use angry with a person and angry about something.
28	động vật	a living creature that is not a plant	A dolphin is an intelligent animal.	Cá heo là một loài động vật thông minh.	Many animals live in this forest.	Nhiều loài động vật sống trong khu rừng này.	Animal is countable.
29	một cái/người khác; thêm một	one more person or thing, or a different one	Can I have another cup of tea?	Tôi có thể uống thêm một tách trà không?	This pen is broken; give me another.	Cây bút này hỏng rồi; đưa tôi cây khác nhé.	Another can stand before a singular noun or alone as a pronoun.
30	câu trả lời; trả lời	something said or written in reply, or to reply	I know the answer to this question.	Tôi biết câu trả lời cho câu hỏi này.	Please answer the phone.	Vui lòng nghe điện thoại.	Use the answer to a question; answer does not need to before an object.
31	bất kỳ; một chút nào	one or some, without saying exactly which or how many	Do you have any questions?	Bạn có câu hỏi nào không?	I don't have any money with me.	Tôi không mang theo chút tiền nào.	Any is common in questions and negative sentences.
32	bất kỳ ai; ai đó	any person	Does anyone know her name?	Có ai biết tên cô ấy không?	Anyone can use this computer.	Bất kỳ ai cũng có thể dùng máy tính này.	Anyone takes a singular verb.
33	bất kỳ điều gì; thứ gì đó	any thing or event	Is there anything in the box?	Có thứ gì trong hộp không?	You can ask me anything.	Bạn có thể hỏi tôi bất cứ điều gì.	Anything takes a singular verb.
34	căn hộ	a set of rooms for living in, usually on one floor of a building	Their apartment has two bedrooms.	Căn hộ của họ có hai phòng ngủ.	She lives in a small apartment downtown.	Cô ấy sống trong một căn hộ nhỏ ở trung tâm thành phố.	Use live in an apartment.
35	quả táo	a round fruit with red, green, or yellow skin	He ate an apple after lunch.	Anh ấy ăn một quả táo sau bữa trưa.	Would you like a slice of apple?	Bạn có muốn một lát táo không?	Apple is countable; use an before it.
36	tháng Tư	the fourth month of the year	My course starts in April.	Khóa học của tôi bắt đầu vào tháng Tư.	Her birthday is on April 12.	Sinh nhật của cô ấy là ngày 12 tháng Tư.	Use in with a month and on with a full date.
37	khu vực; vùng	a particular part of a place	This area is quiet at night.	Khu vực này yên tĩnh vào ban đêm.	There is a seating area near the window.	Có một khu vực chỗ ngồi gần cửa sổ.	Area is countable when referring to a particular place.
38	cánh tay	the part of the body from the shoulder to the hand	She carried the baby in her arms.	Cô ấy bế em bé trong vòng tay.	He put his arm around his brother.	Anh ấy vòng tay ôm em trai mình.	Common phrases include in your arms and put an arm around someone.
39	quanh; xung quanh	in a circle or on every side of something	We sat around the table.	Chúng tôi ngồi quanh bàn.	She looked around but saw nobody.	Cô ấy nhìn quanh nhưng không thấy ai.	Around can be a preposition or an adverb without an object.
40	đến nơi	to reach a place	The train arrived late.	Tàu đến muộn.	We arrived in Hanoi at noon.	Chúng tôi đến Hà Nội vào buổi trưa.	Use arrive in for cities/countries and arrive at for smaller places.
41	nghệ thuật	the creation of beautiful or meaningful objects and images	Modern art can be very colorful.	Nghệ thuật hiện đại có thể rất nhiều màu sắc.	She studies art at college.	Cô ấy học nghệ thuật ở trường cao đẳng.	Art is usually uncountable when it means the subject.
42	bài báo; bài viết	a piece of writing in a newspaper, magazine, or website	I read an article about healthy food.	Tôi đọc một bài viết về thức ăn lành mạnh.	She wrote an article for the school blog.	Cô ấy viết một bài cho blog của trường.	Use an article about a topic and an article for a publication.
43	nghệ sĩ	a person who creates art	The artist painted a picture of the sea.	Người nghệ sĩ vẽ một bức tranh về biển.	He works as an artist in the city.	Anh ấy làm nghệ sĩ trong thành phố.	Work as + job names a person's occupation.
44	với vai trò là; như	in the role or function of someone or something	She works as a teacher.	Cô ấy làm giáo viên.	Use this box as a table.	Hãy dùng chiếc hộp này làm bàn.	As introduces a role or function.
45	hỏi; yêu cầu	to speak or write to get information or request something	I asked her name.	Tôi hỏi tên cô ấy.	Ask your teacher for help.	Hãy nhờ giáo viên giúp đỡ.	Use ask someone a question and ask someone for something.
46	ở; tại	used to show an exact place or time	Meet me at the station.	Gặp tôi tại nhà ga nhé.	The class starts at nine o'clock.	Lớp học bắt đầu lúc chín giờ.	Use at for exact places and clock times.
47	tháng Tám	the eighth month of the year	It is very hot here in August.	Ở đây rất nóng vào tháng Tám.	The festival begins on August 5.	Lễ hội bắt đầu vào ngày 5 tháng Tám.	Use in with a month and on with a full date.
48	cô; dì; thím; mợ	the sister of your mother or father, or the wife of your uncle	My aunt lives near us.	Dì tôi sống gần nhà chúng tôi.	We are visiting Aunt Mai this weekend.	Cuối tuần này chúng tôi sẽ thăm dì Mai.	Capitalize Aunt when it is used with a person's name.
49	xa; đi khỏi	to or at another place	The school is two kilometers away.	Trường học cách đây hai ki-lô-mét.	Please put your phone away during class.	Vui lòng cất điện thoại trong giờ học.	Put something away means return it to its proper place.
50	tuyệt vời; rất ấn tượng	extremely good or impressive	The concert was awesome.	Buổi hòa nhạc thật tuyệt vời.	You did an awesome job on the project.	Bạn đã làm dự án rất xuất sắc.	Awesome is informal and common in conversation.
51	em bé; con non	a very young child or animal	The baby is sleeping.	Em bé đang ngủ.	They have a six-month-old baby.	Họ có một em bé sáu tháng tuổi.	Baby is countable; the plural is babies.
52	phía sau; trở lại	the rear part, or toward an earlier place or condition	The garden is at the back of the house.	Khu vườn ở phía sau ngôi nhà.	I'll call you back after lunch.	Tôi sẽ gọi lại cho bạn sau bữa trưa.	Call someone back means return a phone call.
